id,budget,popularity,runtime,revenue,month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
1,14000000,6.575392999999999,93.0,12314651,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40000000,8.248895,113.0,95149435,8,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
3,3300000,64.29999000000001,105.0,13092000,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1200000,3.174936,122.0,16000000,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0,1.1480700000000001,118.0,3923970,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,8000000,0.743274,83.0,3261638,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,14000000,7.2864770000000005,92.0,85446075,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8,0,1.9490439999999998,84.0,2586511,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,6.902423,100.0,34327391,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10,6000000,4.672036,91.0,18750246,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,1000000,14.774066,119.0,117235147,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,0,10.54375,98.0,22642033,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,15000000,20.726578,122.0,356296601,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,53000000,13.314232999999998,118.0,95226116,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,102000000,20.666063,145.0,358372926,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
16,500000,1.018477,97.0,198,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,26000000,6.336926999999999,85.0,57891803,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
18,0,4.1835580000000006,111.0,1234254,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19,8000000,6.496258999999999,96.0,1749457,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,32000000,11.359658999999999,87.0,85167639,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,80000000,12.000579,130.0,136159423,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22,4000000,7.99229,95.0,36690067,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23,0,7.820786999999999,116.0,100345,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
24,0,1.323333,92.0,17011,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
25,0,7.434577,87.0,4947717,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0,1.252367,95.0,8403433,10,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
27,10000000,4.305734999999999,110.0,13835130,9,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
28,11000000,10.841891,93.0,7847000,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,6000000,6.759181,84.0,5849647,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,45000000,7.81862,89.0,94935764,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,13000000,16.086919,112.0,426480871,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,5.69586,117.0,36000000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
33,90000000,13.412445000000002,106.0,146936910,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,0,8.254856,125.0,7171,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,140000000,9.718111,91.0,258022233,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,30000000,8.234382,94.0,40346186,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,2.100499,105.0,151559,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,50000000,13.676444,127.0,189859560,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
39,0,0.32926,90.0,92100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,3800000,3.055936,123.0,14873,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41,0,2.941626,118.0,163000,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3000000,9.718713000000001,126.0,16217773,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,25000000,2.9719990000000003,108.0,24362772,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6000000,9.383088,92.0,1020921,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,15000000,5.615303,88.0,47175038,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
